ytid,ytid_seg,start,end,sentiment,happiness,sadness,anger,fear,disgust,surprise
-9y-fZ3swSY,/home/emoman/Downloads/mosei/messai/wavs/-9y-fZ3swSY_06.wav,42.475,48.214,0.33333334,0.6666667,0.0,0.0,0.0,0.0,0.0
-9y-fZ3swSY,/home/emoman/Downloads/mosei/messai/wavs/-9y-fZ3swSY_07.wav,47.444,52.345,1.6666666,0.6666667,0.0,0.0,0.0,0.0,0.0
-Alixo7euuU,/home/emoman/Downloads/mosei/messai/wavs/-Alixo7euuU_00.wav,0.0124716553288,5.14081632653,0.0,0.0,0.6666667,0.0,0.0,0.0,0.0
-Alixo7euuU,/home/emoman/Downloads/mosei/messai/wavs/-Alixo7euuU_01.wav,5.14081632653,12.4641723356,0.0,0.6666667,0.0,0.0,0.0,0.0,0.0
-Alixo7euuU,/home/emoman/Downloads/mosei/messai/wavs/-Alixo7euuU_02.wav,79.1426303855,87.543537415,1.0,0.33333334,0.0,0.0,0.0,0.0,0.0
-Alixo7euuU,/home/emoman/Downloads/mosei/messai/wavs/-Alixo7euuU_03.wav,115.739455782,119.810204082,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0
-Alixo7euuU,/home/emoman/Downloads/mosei/messai/wavs/-Alixo7euuU_04.wav,120.488662132,130.346258503,-0.33333334,0.33333334,0.33333334,0.0,0.0,0.0,0.0
-Alixo7euuU,/home/emoman/Downloads/mosei/messai/wavs/-Alixo7euuU_05.wav,133.259637188,140.912244898,0.0,0.0,0.33333334,0.0,0.0,0.6666667,0.33333334
-Alixo7euuU,/home/emoman/Downloads/mosei/messai/wavs/-Alixo7euuU_06.wav,12.4641723356,21.2741496599,0.6666667,0.0,0.33333334,0.0,0.0,0.0,0.0
-Alixo7euuU,/home/emoman/Downloads/mosei/messai/wavs/-Alixo7euuU_07.wav,141.041950113,153.653287982,-0.33333334,0.0,0.33333334,0.0,0.0,0.33333334,0.33333334
-Alixo7euuU,/home/emoman/Downloads/mosei/messai/wavs/-Alixo7euuU_08.wav,167.312244898,182.238321995,0.6666667,0.6666667,0.0,0.0,0.0,0.0,0.33333334
-Alixo7euuU,/home/emoman/Downloads/mosei/messai/wavs/-Alixo7euuU_09.wav,184.982086168,189.950793651,0.6666667,0.6666667,0.0,0.0,0.0,0.0,0.6666667
-Alixo7euuU,/home/emoman/Downloads/mosei/messai/wavs/-Alixo7euuU_10.wav,190.270068027,197.114512472,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-Alixo7euuU,/home/emoman/Downloads/mosei/messai/wavs/-Alixo7euuU_11.wav,198.301814059,213.866439909,0.33333334,1.0,0.33333334,0.0,0.0,0.33333334,0.0
-Alixo7euuU,/home/emoman/Downloads/mosei/messai/wavs/-Alixo7euuU_12.wav,223.554421769,228.303628118,1.0,0.6666667,0.33333334,0.0,0.0,0.0,0.0
-Alixo7euuU,/home/emoman/Downloads/mosei/messai/wavs/-Alixo7euuU_13.wav,36.2600907029,41.7476190476,0.6666667,0.0,0.6666667,0.0,0.0,0.0,0.0
-Eqdz5y4pEY,/home/emoman/Downloads/mosei/messai/wavs/-Eqdz5y4pEY_00.wav,21.5734693878,28.3480725624,-0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0
-HwX2H8Z4hY,/home/emoman/Downloads/mosei/messai/wavs/-HwX2H8Z4hY_00.wav,0.0,2.348,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-HwX2H8Z4hY,/home/emoman/Downloads/mosei/messai/wavs/-HwX2H8Z4hY_01.wav,2.146,11.318,-0.6666667,0.0,0.33333334,0.0,0.0,0.0,0.0
-HwX2H8Z4hY,/home/emoman/Downloads/mosei/messai/wavs/-HwX2H8Z4hY_02.wav,10.318,14.211,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-HwX2H8Z4hY,/home/emoman/Downloads/mosei/messai/wavs/-HwX2H8Z4hY_03.wav,13.92,20.118,0.33333334,0.0,0.33333334,0.0,0.0,0.33333334,0.0
-HwX2H8Z4hY,/home/emoman/Downloads/mosei/messai/wavs/-HwX2H8Z4hY_04.wav,19.866,26.214,-2.0,0.0,0.6666667,0.0,0.0,0.6666667,0.0
-HwX2H8Z4hY,/home/emoman/Downloads/mosei/messai/wavs/-HwX2H8Z4hY_05.wav,27.08,32.61,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
-HwX2H8Z4hY,/home/emoman/Downloads/mosei/messai/wavs/-HwX2H8Z4hY_06.wav,32.108,35.353,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-HwX2H8Z4hY,/home/emoman/Downloads/mosei/messai/wavs/-HwX2H8Z4hY_07.wav,35.441,42.806,0.6666667,0.6666667,0.0,0.0,0.0,0.0,0.0
-HwX2H8Z4hY,/home/emoman/Downloads/mosei/messai/wavs/-HwX2H8Z4hY_08.wav,43.093,49.551,-1.6666666,0.0,0.0,0.6666667,0.0,0.6666667,0.0
-HwX2H8Z4hY,/home/emoman/Downloads/mosei/messai/wavs/-HwX2H8Z4hY_09.wav,49.299,56.934,-0.33333334,0.0,0.0,0.33333334,0.0,0.0,1.0
-IUUR2yyNbw,/home/emoman/Downloads/mosei/messai/wavs/-IUUR2yyNbw_00.wav,7.22607709751,25.4047619048,0.33333334,0.6666667,0.0,0.0,0.0,0.0,0.0
-IUUR2yyNbw,/home/emoman/Downloads/mosei/messai/wavs/-IUUR2yyNbw_01.wav,114.861451247,126.445124717,0.0,1.0,0.0,0.0,0.0,0.0,0.33333334
-IUUR2yyNbw,/home/emoman/Downloads/mosei/messai/wavs/-IUUR2yyNbw_02.wav,142.857823129,149.861904762,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0
-IUUR2yyNbw,/home/emoman/Downloads/mosei/messai/wavs/-IUUR2yyNbw_03.wav,32.7081632653,42.446031746,0.33333334,0.0,0.6666667,0.0,0.0,0.0,0.0
-IUUR2yyNbw,/home/emoman/Downloads/mosei/messai/wavs/-IUUR2yyNbw_04.wav,66.531292517,69.753968254,0.0,0.33333334,0.0,0.0,0.0,0.0,0.0
-I_e4mIh0yE,/home/emoman/Downloads/mosei/messai/wavs/-I_e4mIh0yE_00.wav,3.144,10.57,-0.6666667,0.0,0.33333334,0.0,0.0,0.0,0.0
-I_e4mIh0yE,/home/emoman/Downloads/mosei/messai/wavs/-I_e4mIh0yE_01.wav,16.803,25.785,0.6666667,0.0,0.0,0.0,0.0,0.0,1.0
-I_e4mIh0yE,/home/emoman/Downloads/mosei/messai/wavs/-I_e4mIh0yE_02.wav,25.154,47.097,-0.6666667,0.33333334,0.6666667,0.0,0.0,0.33333334,0.33333334
-IqSFQePnpU,/home/emoman/Downloads/mosei/messai/wavs/-IqSFQePnpU_00.wav,0.0124716553288,17.2931972789,0.0,0.0,0.33333334,0.0,0.6666667,0.0,1.0
-LnuDPiuuZw,/home/emoman/Downloads/mosei/messai/wavs/-LnuDPiuuZw_00.wav,0.0124716553288,5.30045351474,0.33333334,0.6666667,0.0,0.6666667,0.0,0.0,0.0
-LnuDPiuuZw,/home/emoman/Downloads/mosei/messai/wavs/-LnuDPiuuZw_01.wav,6.23832199546,14.8387755102,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0
-LnuDPiuuZw,/home/emoman/Downloads/mosei/messai/wavs/-LnuDPiuuZw_02.wav,15.3077097506,31.4310657596,1.0,1.0,0.0,0.0,0.0,0.0,0.0
-LnuDPiuuZw,/home/emoman/Downloads/mosei/messai/wavs/-LnuDPiuuZw_03.wav,96.5231292517,108.216553288,1.3333334,0.6666667,0.0,0.0,0.0,0.0,0.0
-MeTTeMJBNc,/home/emoman/Downloads/mosei/messai/wavs/-MeTTeMJBNc_00.wav,0.0,9.213,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0
-MeTTeMJBNc,/home/emoman/Downloads/mosei/messai/wavs/-MeTTeMJBNc_01.wav,77.036,82.277,0.33333334,1.3333334,0.0,0.0,0.0,0.0,0.0
-MeTTeMJBNc,/home/emoman/Downloads/mosei/messai/wavs/-MeTTeMJBNc_02.wav,10.647,19.17,0.0,0.6666667,0.0,0.33333334,0.0,0.0,0.0
-MeTTeMJBNc,/home/emoman/Downloads/mosei/messai/wavs/-MeTTeMJBNc_03.wav,31.849,42.258,1.3333334,1.3333334,0.0,0.0,0.33333334,0.0,0.0
-NFrJFQijFE,/home/emoman/Downloads/mosei/messai/wavs/-NFrJFQijFE_01.wav,3.37369614512,9.0231292517,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0
-NFrJFQijFE,/home/emoman/Downloads/mosei/messai/wavs/-NFrJFQijFE_02.wav,8.0231292517,14.7201814059,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-NFrJFQijFE,/home/emoman/Downloads/mosei/messai/wavs/-NFrJFQijFE_03.wav,44.1111111111,54.7691609977,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0
-RfYyzHpjk4,/home/emoman/Downloads/mosei/messai/wavs/-RfYyzHpjk4_00.wav,64.794,69.855,2.0,1.0,0.6666667,0.33333334,0.0,0.0,0.0
-RfYyzHpjk4,/home/emoman/Downloads/mosei/messai/wavs/-RfYyzHpjk4_01.wav,9.051,14.441,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0
-RfYyzHpjk4,/home/emoman/Downloads/mosei/messai/wavs/-RfYyzHpjk4_02.wav,48.711,53.223,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0
-RfYyzHpjk4,/home/emoman/Downloads/mosei/messai/wavs/-RfYyzHpjk4_03.wav,52.652,60.536,0.0,0.33333334,0.0,0.6666667,0.0,0.33333334,0.0
-SYSVSQnTnA,/home/emoman/Downloads/mosei/messai/wavs/-SYSVSQnTnA_00.wav,0.0124716553288,6.89682539683,1.6666666,2.0,0.0,0.0,0.0,0.0,0.0
-SYSVSQnTnA,/home/emoman/Downloads/mosei/messai/wavs/-SYSVSQnTnA_01.wav,7.43560090703,13.8310657596,-0.33333334,0.6666667,0.0,0.0,0.0,0.0,0.0
-SYSVSQnTnA,/home/emoman/Downloads/mosei/messai/wavs/-SYSVSQnTnA_02.wav,15.2777777778,21.6233560091,1.0,0.6666667,0.0,0.0,0.0,0.0,0.0
-THoVjtIkeU,/home/emoman/Downloads/mosei/messai/wavs/-THoVjtIkeU_00.wav,0.0,13.463,1.6666666,1.3333334,0.33333334,0.0,0.0,0.0,0.6666667
-THoVjtIkeU,/home/emoman/Downloads/mosei/messai/wavs/-THoVjtIkeU_01.wav,12.693,23.071,1.6666666,1.6666666,0.0,0.0,0.0,0.0,0.0
-THoVjtIkeU,/home/emoman/Downloads/mosei/messai/wavs/-THoVjtIkeU_02.wav,112.625,122.934,-0.33333334,1.6666666,0.0,0.0,0.6666667,0.0,0.0
-THoVjtIkeU,/home/emoman/Downloads/mosei/messai/wavs/-THoVjtIkeU_03.wav,122.393,127.215,2.3333333,1.6666666,0.0,0.0,0.0,0.0,0.0
-THoVjtIkeU,/home/emoman/Downloads/mosei/messai/wavs/-THoVjtIkeU_04.wav,126.604,141.392,2.0,2.0,0.0,0.0,0.0,0.0,0.0
-THoVjtIkeU,/home/emoman/Downloads/mosei/messai/wavs/-THoVjtIkeU_05.wav,23.308,27.531,1.3333334,1.0,0.0,0.0,0.0,0.0,0.0
-THoVjtIkeU,/home/emoman/Downloads/mosei/messai/wavs/-THoVjtIkeU_06.wav,84.27,92.244,2.6666667,1.0,0.0,0.0,0.0,0.0,0.0
-THoVjtIkeU,/home/emoman/Downloads/mosei/messai/wavs/-THoVjtIkeU_07.wav,97.62,106.831,1.0,1.6666666,0.0,0.0,0.0,0.0,0.33333334
-UuX1xuaiiE,/home/emoman/Downloads/mosei/messai/wavs/-UuX1xuaiiE_00.wav,0.0,3.566,2.6666667,1.6666666,0.0,0.0,0.0,0.0,0.0
-UuX1xuaiiE,/home/emoman/Downloads/mosei/messai/wavs/-UuX1xuaiiE_01.wav,3.084,13.333,1.6666666,1.0,0.0,0.0,0.0,0.0,0.0
-UuX1xuaiiE,/home/emoman/Downloads/mosei/messai/wavs/-UuX1xuaiiE_02.wav,12.463,20.437,1.6666666,1.3333334,0.0,0.0,0.0,0.0,0.0
-UuX1xuaiiE,/home/emoman/Downloads/mosei/messai/wavs/-UuX1xuaiiE_03.wav,19.437,23.47,0.33333334,0.33333334,0.0,0.0,0.0,0.0,0.0
-UuX1xuaiiE,/home/emoman/Downloads/mosei/messai/wavs/-UuX1xuaiiE_04.wav,22.47,28.639,2.0,1.3333334,0.0,0.0,0.0,0.0,0.0
-UuX1xuaiiE,/home/emoman/Downloads/mosei/messai/wavs/-UuX1xuaiiE_05.wav,27.639,30.794,1.0,0.0,0.6666667,0.0,0.0,0.0,0.0
-UuX1xuaiiE,/home/emoman/Downloads/mosei/messai/wavs/-UuX1xuaiiE_06.wav,30.253,38.187,-0.33333334,0.33333334,0.6666667,0.33333334,0.0,0.6666667,0.33333334
-UuX1xuaiiE,/home/emoman/Downloads/mosei/messai/wavs/-UuX1xuaiiE_07.wav,37.686,43.794,-1.3333334,0.0,1.3333334,0.33333334,0.0,1.0,0.0
-UuX1xuaiiE,/home/emoman/Downloads/mosei/messai/wavs/-UuX1xuaiiE_08.wav,42.884,51.556,1.6666666,0.6666667,0.0,0.0,0.0,0.0,0.0
-UuX1xuaiiE,/home/emoman/Downloads/mosei/messai/wavs/-UuX1xuaiiE_09.wav,51.125,57.693,0.6666667,0.6666667,0.0,0.0,0.0,0.0,0.0
-VmheDA92mM,/home/emoman/Downloads/mosei/messai/wavs/-VmheDA92mM_01.wav,8.88117913832,12.9641723356,-2.0,0.0,0.0,1.0,0.0,0.0,0.0
-VmheDA92mM,/home/emoman/Downloads/mosei/messai/wavs/-VmheDA92mM_02.wav,11.9641723356,23.5102040816,-1.3333334,0.0,0.0,0.6666667,0.0,0.6666667,0.0
-VmheDA92mM,/home/emoman/Downloads/mosei/messai/wavs/-VmheDA92mM_03.wav,23.8172335601,29.3569160998,0.6666667,0.0,0.0,0.0,0.0,0.0,0.0
-VmheDA92mM,/home/emoman/Downloads/mosei/messai/wavs/-VmheDA92mM_04.wav,29.7537414966,44.6222222222,0.0,0.0,0.33333334,1.0,0.0,0.0,0.0
-WXXTNIJcVM,/home/emoman/Downloads/mosei/messai/wavs/-WXXTNIJcVM_00.wav,0.0,2.079,2.0,1.0,0.0,0.0,0.0,0.0,0.0
-WXXTNIJcVM,/home/emoman/Downloads/mosei/messai/wavs/-WXXTNIJcVM_01.wav,1.278,5.012,1.6666666,1.6666666,0.0,0.0,0.0,0.0,0.0
-WXXTNIJcVM,/home/emoman/Downloads/mosei/messai/wavs/-WXXTNIJcVM_02.wav,4.351,8.444,2.3333333,2.6666667,0.0,0.0,0.0,0.0,0.0
-WXXTNIJcVM,/home/emoman/Downloads/mosei/messai/wavs/-WXXTNIJcVM_03.wav,7.594,18.721,1.6666666,1.6666666,0.0,0.0,0.33333334,0.0,0.0
-WXXTNIJcVM,/home/emoman/Downloads/mosei/messai/wavs/-WXXTNIJcVM_04.wav,31.44,41.988,0.33333334,0.0,0.0,0.0,0.33333334,0.0,0.0
-a55Q6RWvTA,/home/emoman/Downloads/mosei/messai/wavs/-a55Q6RWvTA_00.wav,17.112,39.175,0.6666667,0.33333334,0.0,0.0,0.0,0.0,0.0
-aNfi7CP8vM,/home/emoman/Downloads/mosei/messai/wavs/-aNfi7CP8vM_00.wav,48.112,58.58,0.0,0.33333334,0.0,0.33333334,0.33333334,0.0,0.0
-aNfi7CP8vM,/home/emoman/Downloads/mosei/messai/wavs/-aNfi7CP8vM_01.wav,27.639,36.161,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-aqamKhZ1Ec,/home/emoman/Downloads/mosei/messai/wavs/-aqamKhZ1Ec_00.wav,0.0,10.889,-2.0,0.0,1.0,0.0,0.33333334,0.6666667,0.0
-aqamKhZ1Ec,/home/emoman/Downloads/mosei/messai/wavs/-aqamKhZ1Ec_01.wav,9.889,23.959,-0.6666667,0.0,0.6666667,0.0,0.33333334,0.33333334,0.6666667
-aqamKhZ1Ec,/home/emoman/Downloads/mosei/messai/wavs/-aqamKhZ1Ec_02.wav,29.115,42.317,-0.33333334,1.0,0.0,0.0,0.0,0.0,0.0
-bl5PfNIYrk,/home/emoman/Downloads/mosei/messai/wavs/-bl5PfNIYrk_00.wav,18.5603174603,25.7240362812,1.0,0.33333334,0.0,0.0,0.0,0.0,0.0
-bl5PfNIYrk,/home/emoman/Downloads/mosei/messai/wavs/-bl5PfNIYrk_01.wav,104.993877551,113.584353741,2.0,0.6666667,0.0,0.0,0.0,0.0,0.0
-bl5PfNIYrk,/home/emoman/Downloads/mosei/messai/wavs/-bl5PfNIYrk_02.wav,131.483673469,142.778004535,1.6666666,1.0,0.0,0.0,0.0,0.0,0.0
-bl5PfNIYrk,/home/emoman/Downloads/mosei/messai/wavs/-bl5PfNIYrk_03.wav,48.4922902494,58.8886621315,1.0,0.6666667,0.0,0.0,0.0,0.0,0.0
-bl5PfNIYrk,/home/emoman/Downloads/mosei/messai/wavs/-bl5PfNIYrk_04.wav,59.8365079365,65.3739229025,1.3333334,1.6666666,0.0,0.0,0.33333334,0.0,0.0
-bl5PfNIYrk,/home/emoman/Downloads/mosei/messai/wavs/-bl5PfNIYrk_05.wav,65.9526077098,79.8111111111,1.3333334,0.33333334,0.0,0.0,0.0,0.0,0.0
-bl5PfNIYrk,/home/emoman/Downloads/mosei/messai/wavs/-bl5PfNIYrk_06.wav,80.4297052154,84.9394557823,1.3333334,0.33333334,0.33333334,0.0,0.0,0.0,0.0
-cEhr0cQcDM,/home/emoman/Downloads/mosei/messai/wavs/-cEhr0cQcDM_00.wav,56.423,63.819,1.3333334,0.6666667,0.33333334,0.0,0.33333334,0.0,0.0
-cEhr0cQcDM,/home/emoman/Downloads/mosei/messai/wavs/-cEhr0cQcDM_01.wav,31.819,38.935,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-cmk6cfUeMs,/home/emoman/Downloads/mosei/messai/wavs/-cmk6cfUeMs_00.wav,0.0124716553288,4.1231292517,0.6666667,0.6666667,0.0,0.0,0.0,0.0,0.0
-cmk6cfUeMs,/home/emoman/Downloads/mosei/messai/wavs/-cmk6cfUeMs_01.wav,4.13310657596,18.4405895692,0.6666667,1.3333334,0.0,0.0,0.0,0.0,0.0
-dZ1TCboxcQ,/home/emoman/Downloads/mosei/messai/wavs/-dZ1TCboxcQ_00.wav,0.0124716553288,9.76031746032,0.0,0.0,0.33333334,0.6666667,0.0,0.33333334,0.0
-dZ1TCboxcQ,/home/emoman/Downloads/mosei/messai/wavs/-dZ1TCboxcQ_01.wav,11.6659863946,17.1136054422,-0.33333334,0.0,1.3333334,0.6666667,0.0,0.0,0.0
-dZ1TCboxcQ,/home/emoman/Downloads/mosei/messai/wavs/-dZ1TCboxcQ_02.wav,17.143537415,25.1253968254,-0.33333334,0.0,1.0,0.0,0.0,0.33333334,0.0
-dZ1TCboxcQ,/home/emoman/Downloads/mosei/messai/wavs/-dZ1TCboxcQ_03.wav,30.00430839,39.9317460317,-0.6666667,0.0,1.0,1.0,0.0,0.6666667,0.0
-dxfTGcXJoc,/home/emoman/Downloads/mosei/messai/wavs/-dxfTGcXJoc_00.wav,0.0,20.407,1.0,0.0,0.0,1.0,0.0,0.0,0.0
-dxfTGcXJoc,/home/emoman/Downloads/mosei/messai/wavs/-dxfTGcXJoc_01.wav,20.205,36.221,1.6666666,0.33333334,0.0,0.0,0.0,0.0,0.0
-dxfTGcXJoc,/home/emoman/Downloads/mosei/messai/wavs/-dxfTGcXJoc_02.wav,36.169,52.794,0.6666667,0.0,0.0,1.0,0.0,0.0,0.0
-dxfTGcXJoc,/home/emoman/Downloads/mosei/messai/wavs/-dxfTGcXJoc_03.wav,52.622,62.502,1.3333334,0.33333334,0.0,1.0,0.0,0.0,0.0
-dxfTGcXJoc,/home/emoman/Downloads/mosei/messai/wavs/-dxfTGcXJoc_04.wav,62.25,67.321,1.6666666,0.6666667,0.0,0.0,0.6666667,0.0,0.0
-dxfTGcXJoc,/home/emoman/Downloads/mosei/messai/wavs/-dxfTGcXJoc_05.wav,67.189,77.308,2.0,0.33333334,0.0,0.0,0.0,0.0,0.0
-dxfTGcXJoc,/home/emoman/Downloads/mosei/messai/wavs/-dxfTGcXJoc_06.wav,77.465,90.079,0.6666667,0.0,0.0,0.0,0.0,0.0,0.0
-dxfTGcXJoc,/home/emoman/Downloads/mosei/messai/wavs/-dxfTGcXJoc_07.wav,90.107,100.914,1.0,0.0,0.0,1.0,0.0,0.0,0.0
-egA8-b7-3M,/home/emoman/Downloads/mosei/messai/wavs/-egA8-b7-3M_00.wav,1.268,11.408,0.6666667,0.0,0.6666667,0.0,0.0,0.0,0.0
-egA8-b7-3M,/home/emoman/Downloads/mosei/messai/wavs/-egA8-b7-3M_01.wav,67.957,78.615,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0
-egA8-b7-3M,/home/emoman/Downloads/mosei/messai/wavs/-egA8-b7-3M_02.wav,86.116,90.139,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0
-egA8-b7-3M,/home/emoman/Downloads/mosei/messai/wavs/-egA8-b7-3M_03.wav,93.848,101.403,0.0,0.0,0.6666667,0.0,0.0,0.0,0.0
-egA8-b7-3M,/home/emoman/Downloads/mosei/messai/wavs/-egA8-b7-3M_04.wav,101.561,107.03,0.6666667,0.33333334,0.0,0.0,0.0,0.0,0.0
-egA8-b7-3M,/home/emoman/Downloads/mosei/messai/wavs/-egA8-b7-3M_05.wav,106.729,113.805,0.33333334,0.0,0.33333334,0.0,0.0,0.0,0.0
-egA8-b7-3M,/home/emoman/Downloads/mosei/messai/wavs/-egA8-b7-3M_06.wav,113.314,121.567,1.0,0.33333334,0.6666667,0.0,0.0,0.0,0.0
-egA8-b7-3M,/home/emoman/Downloads/mosei/messai/wavs/-egA8-b7-3M_07.wav,11.156,17.813,0.0,0.0,0.6666667,0.0,0.0,0.0,0.0
-egA8-b7-3M,/home/emoman/Downloads/mosei/messai/wavs/-egA8-b7-3M_08.wav,124.788,131.245,0.33333334,0.0,0.0,0.0,0.0,0.0,0.0
-egA8-b7-3M,/home/emoman/Downloads/mosei/messai/wavs/-egA8-b7-3M_09.wav,150.509,157.286,0.0,0.0,0.6666667,0.0,0.0,0.0,0.0
-egA8-b7-3M,/home/emoman/Downloads/mosei/messai/wavs/-egA8-b7-3M_10.wav,157.184,162.654,1.3333334,0.33333334,0.6666667,0.0,0.0,0.0,0.0
-egA8-b7-3M,/home/emoman/Downloads/mosei/messai/wavs/-egA8-b7-3M_11.wav,162.642,189.413,1.3333334,0.6666667,0.0,0.0,0.0,0.0,0.0
-egA8-b7-3M,/home/emoman/Downloads/mosei/messai/wavs/-egA8-b7-3M_12.wav,188.802,194.701,1.6666666,0.6666667,0.0,0.0,0.0,0.0,0.0
-egA8-b7-3M,/home/emoman/Downloads/mosei/messai/wavs/-egA8-b7-3M_13.wav,17.731,24.977,0.6666667,0.33333334,0.0,0.0,0.0,0.0,0.0
